# Epicenters of shear wave splitting measurements at recording station BFO
longitude	latitude	moment_magnitude	hypocentral_depth_km
-67	-24.22	6.02760229875599	196.2
-76.09	-13.66	6.02526651329632	56
122.87	0	6.02398446107041	156.3
126.23	0.53	6.02334129978127	30
122.75	-7.16	6.02183501055531	578.5
-66.32	-22.64	6.0216191852344	246.4
128.99	-5.39	6.02140319890987	253.8
142.77	-3.28	6.02140319890987	10
-75.07	-8.87	6.02032084380039	129
-112.59	-23.63	6.01966948322286	10
120.83	17.16	6.01901665396182	17
-77.54	-5.08	6.01814391884855	139.3
-12.4	-47.35	6.01704928747057	10
120.23	0.97	6.01704928747057	33
126.6	2.11	6.01704928747057	33
143.15	11.82	6.01704928747057	9.2
-106.04	-4.62	6.01484753043718	10
126.56	1.62	6.01484753043718	33
134.01	-1.74	6.01396211795937	10
129.9	-6.49	6.0137403411162	148.1
-97.26	-36.31	6.01240610071535	10
-71.55	-31.63	6.0103931401995	37
126.04	11.77	6.01016861156894	33
118.9	-10.41	6.00859201678853	22
-70.52	-23.58	6.00813997976525	37
124.52	4.23	6.00813997976525	326
123.73	8.14	6.00472701700789	657.8
144.88	14.18	6.00472701700789	154.1
-66	-22.39	6.00358036341171	278
128.1	-3.99	6.00358036341171	33
-27.08	-56.29	6.00335048673858	94.1
-72.89	-37.54	6.00196738066277	32
119.56	13.07	6.00173621924961	33
-104.47	-4.07	6.00127334200537	10
-97.06	-35.76	6.00127334200537	10
144.7	13.2	6.00127334200537	29
-72	-29.77	6.00057763565236	19.8
